CustomerID,Gender,Age,AnnualIncome,SpendingScore,Recency,Frequency,Monetary
1053,Female,45,86.9,79.6,17,41,7310.89
1054,Male,38,102.3,86.9,3,29,8957.53
1055,Female,23,107.4,87.3,3,33,9420.38
1056,Male,29,106.2,79.3,54,37,8569.8
1057,Female,40,84.9,99.0,8,34,8610.44
1058,Male,28,91.3,88.8,8,35,8222.76
1059,Male,35,99.0,75.5,22,26,7517.08
1060,Male,37,106.7,90.3,37,35,9696.15
1061,Female,26,89.2,77.2,53,31,7234.01
1062,Female,32,92.8,91.3,19,29,8680.84
1063,Female,18,81.7,94.3,8,27,7978.14
1064,Female,26,80.6,78.4,3,37,6458.0
1065,Female,30,104.8,92.7,20,40,9626.57
1066,Female,25,111.3,88.3,12,25,9821.95
1067,Female,42,94.1,91.6,9,36,8695.17
1068,Male,23,107.0,99.0,30,34,10796.18
1069,Male,29,99.3,83.0,3,31,8167.17
1070,Female,33,87.3,79.0,10,38,7199.23
1071,Male,41,99.3,77.9,2,37,7834.09
1072,Female,23,113.5,78.5,10,26,8915.47
1073,Female,39,94.6,84.4,3,30,7979.91
1074,Female,32,113.8,87.7,4,29,9816.9
1075,Male,26,63.6,87.2,4,25,5848.7
1076,Female,35,104.9,91.6,15,26,9634.24
1077,Female,33,96.0,85.1,18,41,8136.09
1078,Male,28,91.4,96.6,13,28,8761.82
1079,Female,32,96.1,82.9,41,46,8033.29
1080,Male,30,71.1,99.0,8,36,7883.09
1081,Male,33,92.4,90.0,6,40,8371.63
1082,Male,36,99.3,78.1,26,32,7720.19
1083,Female,42,112.7,76.4,5,35,8661.23
1084,Female,25,88.8,88.9,42,27,7967.31
1085,Female,45,85.3,83.2,2,31,6973.27
1086,Female,20,89.0,90.7,44,28,8162.45
1087,Female,31,106.0,88.8,3,35,9416.37
1088,Female,36,98.9,84.4,29,32,8504.66
1089,Male,34,88.6,78.2,11,32,7272.34
1090,Male,28,101.2,72.9,61,30,7616.63
1091,Female,31,96.2,81.4,3,40,7912.09
1092,Female,29,106.6,91.9,12,34,9693.19
1093,Female,28,86.6,86.7,44,32,7889.16
1094,Female,37,91.1,75.0,11,27,6997.47
1095,Male,34,90.3,86.4,14,47,7911.53
1096,Male,28,77.4,88.1,16,24,6977.46
1097,Male,37,98.6,77.9,9,36,7815.98
1098,Male,34,98.1,86.2,14,29,8524.43
1099,Female,37,95.1,85.5,13,28,8160.89
1100,Male,36,92.2,75.9,30,38,7088.48
1101,Female,60,87.7,37.9,21,10,2808.95
1102,Male,62,82.6,19.3,16,10,1515.78
1103,Female,43,80.9,28.0,129,8,1966.15
1104,Female,45,89.1,15.1,58,9,1275.82
1105,Female,50,85.5,19.8,87,5,1537.63
1106,Female,51,103.0,32.4,45,8,2750.29
1107,Male,53,61.5,15.6,21,9,989.16
1108,Female,64,98.9,32.7,21,4,2793.77
1109,Female,47,100.5,25.0,67,6,2279.5
1110,Female,42,67.3,16.1,40,8,1094.94
1111,Male,37,84.6,24.4,25,5,1967.23
1112,Female,42,84.3,26.8,45,12,2012.97
1113,Male,48,73.9,24.4,18,9,1634.94
1114,Male,62,80.2,9.0,54,11,768.92
1115,Male,44,76.9,14.9,29,9,1095.22
1116,Male,50,105.5,18.3,87,8,1631.71
1117,Female,48,97.4,19.5,32,9,1706.12
1118,Female,58,100.7,24.3,42,10,2058.12
1119,Male,68,95.2,21.2,16,4,1840.82
1120,Female,44,76.7,10.7,18,6,791.72
1121,Female,44,82.8,22.7,37,9,1655.55
1122,Male,56,92.9,24.3,44,7,1970.46
1123,Female,53,75.8,23.9,56,11,1639.77
1124,Male,63,95.1,27.6,31,11,2298.19
1125,Female,53,85.6,25.8,68,8,2023.51
1126,Male,45,84.3,23.2,104,10,1735.8
1127,Female,53,95.1,19.5,83,8,1708.39
1128,Male,57,92.4,8.4,17,5,955.78
1129,Female,55,84.4,23.0,44,5,1772.14
1130,Female,52,99.6,21.5,20,12,1900.3
1131,Male,57,77.2,21.9,27,7,1513.47
1132,Female,57,94.2,11.1,150,13,1023.61
1133,Female,59,93.9,12.4,22,6,1089.93
1134,Female,53,84.9,27.4,46,7,2072.64
1135,Male,47,91.3,19.7,58,12,1645.14
1136,Female,49,75.5,24.8,70,8,1587.81
1137,Male,58,97.2,20.2,52,12,1770.34
1138,Female,41,86.2,20.2,15,3,1646.58
1139,Female,51,82.8,26.6,33,9,1939.33
1140,Male,45,98.5,16.4,48,6,1458.57
1141,Male,48,81.0,20.7,19,6,1470.0
1142,Male,58,73.9,16.8,34,8,1098.4
1143,Male,50,72.4,17.0,17,8,1224.26
1144,Female,48,94.1,17.8,19,6,1533.04
1145,Female,37,75.2,21.6,38,5,1535.27
1146,Female,54,105.5,16.6,21,9,1682.36
1147,Male,53,67.2,28.8,53,11,1793.38
1148,Male,65,105.0,13.7,68,7,1326.46
1149,Female,46,90.1,18.7,88,9,1554.71
1150,Female,50,87.0,16.9,25,4,1347.47
1151,Female,50,82.6,30.1,23,4,2154.31
1152,Male,61,92.0,21.4,20,6,1790.26
1153,Female,47,87.6,27.2,61,4,2066.68
1154,Female,50,99.0,9.6,70,10,850.2
1155,Female,53,89.1,21.9,16,10,1715.18
1156,Male,49,89.5,26.2,139,9,2062.6
1157,Male,44,84.4,20.6,17,15,1664.77
1158,Male,50,87.4,27.5,50,7,2096.01
1159,Female,57,91.1,16.4,71,13,1419.01
1160,Female,40,70.9,29.9,107,5,1885.51
1161,Male,49,74.5,36.1,71,10,2412.94
1162,Male,42,95.4,17.5,88,7,1590.87
1163,Female,58,89.7,16.9,34,11,1470.34
1164,Female,36,86.2,30.2,91,7,2193.12
1165,Female,44,88.2,31.1,19,10,2401.33
1166,Female,51,91.5,16.3,116,9,1433.72
1167,Male,61,82.6,17.1,51,12,1346.35
1168,Female,47,80.2,18.0,91,5,1388.72
1169,Female,44,90.0,10.6,42,6,964.96
1170,Female,63,78.2,13.6,61,8,1011.84
1171,Female,36,92.1,13.0,49,11,1070.67
1172,Female,30,71.0,14.6,74,5,998.14
1173,Female,52,98.3,19.8,19,6,1887.48
1174,Female,44,92.7,21.6,18,7,1780.95
1175,Male,40,90.6,30.9,28,10,2337.31
1176,Female,54,97.8,13.0,23,7,1254.93
1177,Female,50,104.7,26.9,107,8,2494.13
1178,Male,43,98.1,18.5,26,9,1717.06
1179,Male,38,69.6,19.7,150,7,1317.73
1180,Male,55,75.2,24.7,33,7,1729.74
1181,Female,53,81.8,12.1,24,8,1086.05
1182,Female,47,88.3,22.7,85,11,1763.91
1183,Female,63,93.2,21.2,63,12,1730.49
1184,Female,39,80.7,23.4,46,8,1659.82
1185,Female,36,89.9,22.0,51,11,1770.12
1186,Male,42,80.4,37.2,72,5,2664.92
1187,Female,48,81.9,15.5,27,10,1244.12
1188,Female,50,73.9,16.3,150,9,1187.52
1189,Male,46,78.8,15.6,150,9,1094.45
1190,Female,51,74.5,16.1,62,7,1125.38
1191,Male,38,78.2,15.5,25,9,1080.81
1192,Male,60,98.5,28.3,66,12,2491.25
1193,Male,47,78.5,29.9,18,7,2159.88
1194,Male,57,114.3,16.0,16,10,1702.76
1195,Female,51,92.9,14.2,28,7,1204.41
1196,Female,52,89.8,23.3,43,4,1948.87
1197,Male,53,79.4,16.1,106,9,1212.41
1198,Male,52,95.0,24.4,73,4,1996.06
1199,Female,53,82.2,21.4,76,7,1561.14
1200,Male,59,89.2,9.4,40,15,848.7
1201,Female,18,28.4,83.2,9,19,2921.78
1202,Male,18,26.7,85.2,6,30,2829.07
1203,Female,29,16.7,82.2,38,15,1726.12
1204,Female,23,37.7,72.1,77,34,3301.32
1205,Male,22,26.8,85.0,33,23,2889.51
1206,Female,26,22.3,89.8,40,30,2543.29
1207,Female,23,36.9,83.8,10,27,3710.91
1208,Female,32,18.5,82.5,63,26,2084.49
1209,Male,23,15.0,70.3,9,31,1446.93
1210,Male,25,38.2,80.1,59,21,3627.62
1211,Male,28,43.1,69.8,100,11,3620.72
1212,Male,30,24.3,77.8,27,28,2424.78
1213,Male,21,27.6,61.6,76,23,2069.21
1214,Female,22,18.8,61.7,20,20,1594.33
1215,Female,29,28.0,76.1,10,21,2695.86
1216,Male,27,24.2,72.5,15,38,2213.74
1217,Female,28,27.2,79.1,21,26,2730.65
1218,Female,19,31.3,76.7,6,30,2975.42
1219,Female,30,19.2,78.3,23,21,2083.5
1220,Female,21,25.1,84.1,77,27,2577.09
1221,Male,25,15.0,73.4,9,19,1444.98
1222,Female,23,25.2,75.8,33,22,2336.96
1223,Male,20,27.3,92.6,48,26,2977.53
1224,Female,18,29.8,78.0,57,25,2738.45
1225,Female,18,29.9,76.2,63,12,2840.17
1226,Female,24,35.2,78.8,18,25,3365.88
1227,Male,18,15.7,76.4,73,27,1588.99
1228,Male,19,16.1,70.9,30,17,1450.07
1229,Male,23,32.2,68.0,8,24,2670.2
1230,Male,18,15.0,70.4,17,33,1204.95
1231,Male,27,29.5,86.7,28,27,3158.75
1232,Male,18,18.6,71.7,10,23,1762.67
1233,Male,24,40.6,76.5,23,27,3727.94
1234,Male,24,30.0,85.0,25,30,3083.01
1235,Female,26,26.2,75.2,8,29,2576.55
1236,Female,24,37.8,84.3,20,22,3747.52
1237,Male,32,19.5,62.6,32,27,1600.15
1238,Male,25,21.0,76.7,17,24,2042.72
1239,Female,28,17.9,78.8,5,28,1884.64
1240,Male,21,21.1,78.2,5,20,2051.67
1241,Male,24,28.5,61.5,13,29,2234.5
1242,Female,30,32.0,90.0,52,38,3474.2
1243,Male,23,35.7,69.5,10,24,2985.11
1244,Female,25,15.0,81.4,23,30,1519.1
1245,Female,28,26.6,78.1,10,29,2526.3
1246,Female,21,19.1,88.0,12,22,2085.99
1247,Female,18,26.4,99.0,39,30,3201.7
1248,Male,25,46.7,65.1,28,21,3542.5
1249,Female,28,30.3,71.5,7,30,2557.51
1250,Female,19,35.2,79.9,15,29,3424.97
1251,Female,27,43.7,66.9,6,26,3579.99
1252,Female,27,37.0,85.8,17,21,3766.72
1253,Female,18,24.4,86.4,25,22,2581.38
1254,Male,20,17.8,83.6,7,21,1996.5
1255,Female,22,27.8,80.4,11,23,2685.22
1256,Male,23,23.5,91.7,14,28,2584.37
1257,Male,21,15.8,66.4,50,23,1497.53
1258,Female,21,29.9,78.7,95,21,2889.8
1259,Male,31,30.1,70.6,6,22,2703.96
1260,Female,24,42.2,86.9,31,26,4200.94
1261,Female,21,25.1,59.7,13,26,1863.74
1262,Female,24,30.2,77.7,14,23,2886.19
1263,Female,26,22.7,81.4,30,16,2354.29
1264,Female,24,35.0,68.5,50,21,2987.93
1265,Male,23,27.0,71.7,59,24,2441.35
1266,Female,21,18.6,78.2,20,39,1910.56
1267,Male,21,27.9,87.6,13,23,2962.83
1268,Female,22,31.1,67.7,33,27,2712.29
1269,Male,25,30.0,69.4,10,22,2527.75
1270,Female,20,36.4,89.3,20,20,3892.12
1271,Female,26,16.4,75.3,13,24,1599.89
1272,Female,30,21.3,70.2,24,21,1974.21
1273,Female,25,33.1,85.3,10,15,3344.79
1274,Female,23,22.2,73.1,9,35,2130.0
1275,Male,19,29.9,88.3,50,16,3212.37
1276,Female,30,15.0,71.4,7,26,1083.07
1277,Male,19,49.7,76.4,18,20,4462.47
1278,Male,27,25.8,87.4,9,37,2811.39
1279,Male,27,37.6,75.7,6,27,3381.69
1280,Female,23,25.3,85.6,6,26,2664.33
1281,Female,23,31.3,77.3,8,20,2970.81
1282,Male,18,39.9,97.8,41,17,4505.36
1283,Male,25,37.3,93.7,11,34,4061.68
1284,Female,26,26.4,64.7,59,31,2212.9
1285,Female,20,26.9,83.2,21,25,2755.43
1286,Female,23,36.0,69.8,15,27,3032.12
1287,Male,24,46.7,79.9,21,20,4358.03
1288,Male,26,29.5,78.7,18,36,2814.69
1289,Female,24,43.7,67.4,31,30,3545.66
1290,Male,18,26.1,88.6,11,17,2866.92
1291,Female,22,35.6,80.0,13,23,3309.95
1292,Female,25,36.8,75.2,45,23,3427.73
1293,Male,27,24.7,73.6,58,23,2382.37
1294,Male,22,22.0,79.4,45,26,2083.63
1295,Female,33,37.2,82.1,15,20,3720.51
1296,Male,18,23.7,76.8,32,16,2368.21
1297,Female,22,20.8,49.7,17,19,1439.06
1298,Female,24,22.5,78.2,17,20,2159.29
1299,Female,23,23.7,63.6,9,23,2019.63
1300,Female,19,34.9,75.9,21,25,3195.61
1301,Female,55,28.8,10.6,137,2,433.77
1302,Female,59,40.5,30.8,120,5,1053.19
1303,Male,56,26.8,15.5,37,1,481.07
1304,Female,49,18.6,17.1,92,2,405.52
1305,Male,51,22.6,13.9,40,5,370.28
1306,Female,54,19.5,27.6,40,6,569.7
1307,Male,44,28.0,9.8,149,1,371.97
1308,Male,61,19.4,26.9,42,6,572.66
1309,Female,55,21.7,30.4,43,3,592.52
1310,Male,53,16.0,26.3,25,4,375.17
1311,Female,63,24.1,27.7,148,4,658.65
1312,Male,51,26.2,28.1,119,3,679.64
1313,Female,50,15.0,14.4,84,10,200.74
1314,Male,48,26.8,33.5,108,1,768.84
1315,Male,55,24.7,18.3,35,5,568.67
1316,Female,55,19.6,21.5,62,2,419.54
1317,Female,46,39.2,19.3,51,2,646.53
1318,Male,50,31.7,25.9,31,3,729.02
1319,Female,46,17.3,17.7,65,7,411.83
1320,Female,46,30.9,22.5,150,1,728.06
1321,Female,36,33.7,12.1,27,2,462.24
1322,Female,50,25.9,31.3,46,4,667.5
1323,Male,37,27.5,27.4,39,6,756.21
1324,Female,48,27.4,19.7,41,1,525.9
1325,Female,46,15.0,18.2,150,4,249.32
1326,Male,61,23.7,27.2,63,6,557.21
1327,Male,43,23.3,16.3,63,3,450.3
1328,Female,45,35.0,23.0,111,5,723.3
1329,Female,49,27.3,31.3,35,3,762.57
1330,Male,47,22.9,15.5,65,4,450.27
1331,Male,64,24.4,24.9,59,6,543.5
1332,Female,42,32.2,24.5,80,2,756.83
1333,Female,49,23.7,21.2,150,3,481.41
1334,Female,55,20.1,18.0,113,3,489.55
1335,Female,60,23.1,31.7,55,4,686.17
1336,Female,49,31.6,17.2,130,9,493.9
1337,Male,35,28.5,7.5,36,6,218.54
1338,Female,51,25.3,27.1,27,6,662.92
1339,Male,64,26.3,12.4,39,5,363.48
1340,Female,55,21.1,27.5,50,1,550.12
1341,Male,54,23.6,32.7,68,1,721.48
1342,Male,42,20.4,27.0,82,9,575.7
1343,Female,42,22.9,30.6,150,2,689.79
1344,Female,52,34.4,38.2,68,5,1022.53
1345,Female,39,17.5,29.7,67,4,570.34
1346,Male,59,20.2,24.6,28,2,474.95
1347,Male,44,16.2,35.1,27,4,457.95
1348,Female,52,15.0,36.0,73,1,473.79
1349,Female,35,23.7,36.2,60,3,758.27
1350,Female,48,20.7,18.1,135,3,372.28
1351,Male,41,37.3,11.2,36,4,438.32
1352,Female,31,23.0,17.6,27,2,446.73
1353,Female,57,34.0,27.6,61,1,800.82
1354,Female,67,31.8,23.3,41,1,647.9
1355,Female,62,23.5,20.3,28,2,435.23
1356,Male,58,39.8,26.5,102,6,888.18
1357,Female,48,26.9,10.2,32,3,259.95
1358,Male,59,35.6,23.1,81,4,698.8
1359,Female,63,34.8,30.9,45,4,866.26
1360,Female,53,27.9,26.4,36,2,655.96
1361,Male,41,30.3,27.5,54,3,724.66
1362,Male,48,29.4,34.8,122,3,903.38
1363,Male,67,17.0,21.5,55,4,468.69
1364,Female,51,25.4,16.8,108,4,403.57
1365,Female,22,32.5,31.5,33,1,947.14
1366,Male,39,35.7,31.4,114,5,902.37
1367,Female,48,20.0,26.5,41,3,526.61
1368,Female,61,28.7,20.7,93,6,586.67
1369,Male,50,26.1,22.0,75,3,649.25
1370,Male,61,24.2,11.8,150,8,327.75
1371,Male,47,27.5,30.9,54,4,672.85
1372,Male,34,26.5,30.6,29,8,778.2
1373,Male,48,28.8,11.5,26,4,348.56
1374,Female,55,35.1,28.9,130,4,846.46
1375,Female,54,30.5,25.2,70,5,643.81
1376,Male,41,27.2,13.8,115,5,398.61
1377,Female,49,38.1,12.4,41,4,445.4
1378,Female,72,32.8,25.0,50,2,750.25
1379,Female,41,24.4,18.8,27,3,474.03
1380,Female,58,16.5,36.6,150,5,544.51
1381,Male,33,18.1,29.6,91,1,564.82
1382,Female,60,31.5,25.8,150,2,729.45
1383,Female,44,20.6,26.2,44,4,453.52
1384,Female,56,17.9,32.6,82,4,596.85
1385,Male,40,19.7,28.8,93,3,554.03
1386,Female,55,20.2,26.0,48,4,573.03
1387,Female,44,31.0,14.2,138,9,461.73
1388,Male,46,23.9,46.5,150,1,896.29
1389,Female,56,15.4,13.2,150,4,283.79
1390,Female,48,25.2,19.5,106,1,526.37
1391,Female,55,26.6,8.8,44,5,282.05
1392,Female,50,21.6,26.3,45,4,531.02
1393,Male,53,33.1,23.2,150,4,678.74
1394,Female,56,22.1,28.1,26,3,538.16
1395,Male,49,32.8,8.1,101,5,305.2
1396,Female,43,29.2,30.9,99,4,788.08
1397,Female,47,31.5,15.5,83,2,540.62
1398,Female,63,17.3,20.8,150,7,414.82
1399,Female,53,25.7,29.5,47,5,677.77
1400,Female,44,24.6,24.1,50,2,532.09
1401,Female,38,63.8,51.2,18,19,3177.25
1402,Female,36,58.5,47.0,26,15,2754.12
1403,Male,45,49.3,40.9,19,18,1969.06
1404,Female,32,62.2,42.9,17,13,2730.13
1405,Male,38,59.5,50.9,56,24,2982.18
1406,Male,35,48.5,40.0,82,20,2074.19
1407,Female,32,54.2,65.9,24,11,3354.44
1408,Female,38,51.1,26.2,52,14,1477.95
1409,Female,44,76.1,47.1,78,14,3294.37
1410,Male,53,59.3,51.0,66,15,2881.61
1411,Female,42,56.5,54.6,16,16,3004.85
1412,Male,20,58.8,41.8,104,13,2527.06
1413,Female,38,66.0,60.2,24,18,3651.91
1414,Male,38,54.3,37.5,22,15,2054.22
1415,Female,45,50.3,44.9,12,20,2258.58
1416,Male,39,61.8,55.6,30,20,3170.1
1417,Female,47,53.6,59.4,13,15,3095.94
1418,Female,41,46.4,37.4,19,13,1774.25
1419,Female,49,44.9,73.8,21,16,3152.01
1420,Female,35,67.2,41.9,60,15,2714.21
1421,Male,39,56.1,38.2,73,14,2114.33
1422,Female,44,50.3,54.5,21,12,2679.93
1423,Female,34,53.1,46.9,69,12,2451.18
1424,Male,32,61.5,45.5,68,19,2702.77
1425,Female,34,52.7,55.4,53,10,2776.67
1426,Female,33,43.4,36.3,15,15,1709.93
1427,Male,42,57.6,34.7,45,16,2163.92
1428,Female,25,64.7,44.6,97,14,2812.58
1429,Male,27,64.1,59.7,44,19,3674.15
1430,Female,51,50.5,45.0,22,12,2185.86
1431,Female,33,65.2,64.4,31,12,3927.12
1432,Male,39,56.7,60.8,41,15,3204.07
1433,Male,28,64.9,52.5,31,14,3146.65
1434,Female,39,59.6,53.1,14,18,2985.66
1435,Male,33,42.8,52.5,21,19,2345.98
1436,Female,27,69.0,51.4,59,21,3432.17
1437,Female,47,55.4,46.7,69,19,2566.86
1438,Male,46,59.6,47.7,14,13,2662.22
1439,Female,37,44.2,40.4,101,14,1854.61
1440,Female,45,59.0,30.1,22,13,1882.21
1441,Male,51,63.8,59.9,43,8,3613.84
1442,Male,43,70.5,51.4,52,17,3301.24
1443,Female,41,66.2,50.1,60,15,3104.46
1444,Female,39,59.4,53.6,97,16,3052.61
1445,Male,43,42.6,42.5,21,8,1929.7
1446,Male,35,56.1,41.0,69,13,2149.44
1447,Male,36,50.3,47.4,14,10,2365.62
1448,Female,41,56.9,62.3,47,10,3372.71
1449,Female,35,45.3,39.5,51,22,1928.67
1450,Female,35,53.3,26.4,44,20,1593.0
1451,Male,38,50.9,45.3,19,13,2349.56
1452,Male,46,50.6,60.3,72,22,2887.58
1453,Male,30,50.7,34.4,16,22,1699.04
1454,Male,43,53.9,39.4,12,13,2127.0
1455,Female,44,57.3,52.4,48,14,2970.42
1456,Female,44,35.0,73.1,29,16,2623.88
1457,Female,32,36.0,37.8,67,18,1555.32
1458,Female,26,52.3,37.4,25,14,2043.59
1459,Female,42,53.4,53.0,16,18,2785.24
1460,Female,39,56.5,60.8,64,16,3233.68
1461,Male,45,49.2,44.4,34,14,2196.19
1462,Male,33,55.1,35.4,16,6,2124.41
1463,Female,43,56.0,53.9,48,14,2850.4
1464,Female,45,49.1,55.5,31,12,2781.84
1465,Female,37,63.1,66.0,38,25,3868.22
1466,Male,41,56.4,55.9,29,19,3123.98
1467,Male,41,59.4,57.5,63,19,3151.12
1468,Male,32,55.6,47.6,63,17,2640.52
1469,Female,42,71.8,72.0,47,17,4692.77
1470,Female,49,59.8,46.4,13,8,2609.16
1471,Female,38,51.1,44.5,65,14,2297.69
1472,Male,28,61.6,66.3,43,14,3889.56
1473,Male,33,41.9,36.7,46,17,1599.03
1474,Male,26,56.0,33.4,24,14,1832.41
1475,Female,47,57.6,51.1,73,12,2842.22
1476,Male,20,135.9,57.2,89,44,8834.4
1477,Male,35,104.4,34.5,30,22,4303.03
1478,Female,48,134.6,64.5,100,44,7169.03
1479,Female,64,68.4,7.7,94,10,3740.3
1480,Male,54,74.4,88.9,91,6,3939.59
1481,Female,42,127.2,12.7,74,17,3569.37
1482,Male,69,80.6,33.1,80,38,6527.87
1483,Male,57,103.4,80.9,51,24,5018.16
1484,Male,68,46.5,59.5,78,10,8505.25
1485,Male,46,70.8,39.6,30,8,2407.83
1486,Male,32,30.4,47.4,121,21,1084.95
1487,Male,21,40.7,84.7,29,6,3660.7
1488,Female,57,15.1,34.3,14,21,5627.07
1489,Female,25,19.9,86.2,66,39,7775.03
1490,Female,34,137.2,9.6,99,24,3246.53
1491,Male,47,45.3,77.1,66,33,5953.32
1492,Female,48,97.9,84.1,42,18,3281.75
1493,Female,50,119.9,18.8,84,28,5631.53
1494,Female,27,83.8,43.2,53,32,7986.31
1495,Male,39,34.1,17.2,140,12,2235.95
1496,Male,51,106.0,70.2,138,42,3757.33
1497,Male,70,90.0,53.5,76,27,8940.73
1498,Female,57,106.4,63.3,50,10,7843.3
1499,Male,68,111.2,20.3,111,42,5168.83
1500,Male,59,136.9,21.8,6,32,4746.32
